0,0
0.00079636,0.0062681
0.0058042,0.027472
0.017448,0.054219
0.041509,0.091152
0.085722,0.14913
0.14812,0.22686
0.21336,0.30572
0.27101,0.37333
0.31715,0.42686
0.35229,0.47151
0.37847,0.51673
0.39862,0.56524
0.41438,0.61111
0.42688,0.64837
0.4369,0.67496
0.44451,0.69254
0.44892,0.70709
0.44935,0.72351
0.44699,0.74137
0.44415,0.75701
0.44245,0.76768
0.4417,0.77403
0.4404,0.77864
0.43699,0.78418
0.4317,0.79089
0.42663,0.79652
0.42343,0.79928
0.42222,0.79912
0.42166,0.79755
0.41897,0.79754
0.41195,0.80146
0.40288,0.80718
0.39495,0.81162
0.38958,0.81324
0.38614,0.81213
0.38218,0.8095
0.37562,0.80663
0.36765,0.80353
0.36078,0.79957
0.35665,0.79434
0.35533,0.78783
0.3548,0.78044
0.35192,0.77264
0.34562,0.76467
0.3382,0.75643
0.33265,0.74717
0.33014,0.73427
0.33008,0.71067
0.33121,0.66519
0.33256,0.59363
0.33433,0.50888
0.33716,0.43041
0.34128,0.36723
0.34661,0.31883
0.35297,0.27683
0.36019,0.22833
0.36798,0.17126
0.37595,0.11593
0.38382,0.070644
0.39132,0.037584
0.39806,0.013929
0.40358,-0.0062162
0.40795,-0.02552
0.41181,-0.042281
0.4158,-0.054142
0.42023,-0.060099
0.42507,-0.06072
0.42997,-0.057122
0.43461,-0.050197
0.43899,-0.041027
0.44336,-0.030717
0.44784,-0.019979
0.4522,-0.008764
0.45584,0.0037845
0.4581,0.018684
0.4591,0.035599
0.45989,0.052557
0.46128,0.068118
0.46345,0.082228
0.46592,0.096712
0.46753,0.11607
0.4673,0.14384
0.46611,0.1759
0.46522,0.20637
0.46527,0.232
0.46589,0.25273
0.46567,0.27111
0.46353,0.28975
0.46013,0.30833
0.45706,0.32499
0.45549,0.33831
0.45558,0.34807
0.45629,0.35517
0.45596,0.36062
0.45384,0.36515
0.451,0.3689
0.44898,0.37172
0.44797,0.37344
0.44662,0.37356
0.44238,0.37114
0.4337,0.36575
0.42278,0.35874
0.41325,0.35207
0.40689,0.34664
0.40381,0.34217
0.40286,0.33685
0.40215,0.32743
0.40107,0.31405
0.40055,0.29998
0.40187,0.28833
0.40666,0.28099
0.41908,0.28006
0.44418,0.28728
0.48181,0.30202
0.52446,0.3202
0.56373,0.33738
0.59487,0.35082
0.61826,0.36009
0.63565,0.36538
0.64889,0.36731
0.65909,0.36701
